,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,param_tfidf__binary,param_tfidf__lowercase,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
67,0.05051994323730469,0.0005913231945256482,0.023228883743286133,0.0024381676706584435,0.1,False,True,False,False,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.9135752688172043,0.7893568726355611,0.8822159090909091,0.8617160168478915,0.052743003794919995,13
91,0.029774904251098633,0.0011971976654748062,0.01318963368733724,0.0008512175545715047,0.1,False,False,False,False,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.9135752688172043,0.7893568726355611,0.8822159090909091,0.8617160168478915,0.052743003794919995,13
241,0.028993765513102215,0.0014742648563038582,0.01259462038675944,0.0003356205578031886,0.4111111111111111,False,True,True,True,"(1, 1)",english,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.889103412624439,0.8370123068866195,0.8565785167477732,0.8608980787529439,0.021484332061366004,15
265,0.028823693593343098,0.0003719764022534846,0.01387461026509603,0.001220459813424905,0.4111111111111111,False,False,True,True,"(1, 1)",english,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.889103412624439,0.8370123068866195,0.8565785167477732,0.8608980787529439,0.021484332061366004,15
163,0.029515743255615234,0.0009777683421267952,0.013602018356323242,0.0007037242791673544,0.25555555555555554,False,True,False,False,"(1, 1)",english,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.8029459339943211,0.8959498834498835,0.8605412961111004,0.04108222149844016,17
187,0.028800805409749348,0.0004961342770936898,0.012371222178141275,0.0003912419260214952,0.25555555555555554,False,False,False,False,"(1, 1)",english,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.8029459339943211,0.8959498834498835,0.8605412961111004,0.04108222149844016,17
259,0.028832435607910156,0.0007188885936961153,0.012686014175415039,0.00046578403730592724,0.4111111111111111,False,True,False,False,"(1, 1)",english,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8959498834498835,0.8604976036800195,0.03219636821459583,19
283,0.030602296193440754,0.0024716583856617034,0.014950434366861979,0.0028496464559827515,0.4111111111111111,False,False,False,False,"(1, 1)",english,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8959498834498835,0.8604976036800195,0.03219636821459583,19
445,0.027995189030965168,0.0006953414629259918,0.012161652247111002,0.0003522207913294683,0.7222222222222222,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.8180275537634408,0.8794857221967196,0.8600804489497524,0.029765334439287146,21
469,0.0285489559173584,0.0007336043468898663,0.012584606806437174,0.0006580062048166889,0.7222222222222222,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.8180275537634408,0.8794857221967196,0.8600804489497524,0.029765334439287146,21
