,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5,0.12009962399800618,0.0038471039116772417,0.05196110407511393,0.007253750454863544,,0.4393970560760795,"{'clf__class_weight': None, 'clf__tol': 0.4393970560760795}",0.740808804709085,0.7170424337616154,0.7302359037046746,0.7293623807251249,0.009722221241397891,1
0,0.2667084534962972,0.05880981678954309,0.06505918502807617,0.02770140615418518,,1e-05,"{'clf__class_weight': None, 'clf__tol': 1e-05}",0.7403185961435695,0.7159217440372215,0.7312176375958491,0.7291526592588801,0.010066435973864434,2
1,0.17586874961853027,0.004765762763830648,0.04817008972167969,0.00211432021880926,,8.483428982440725e-05,"{'clf__class_weight': None, 'clf__tol': 8.483428982440725e-05}",0.7403185961435695,0.7159217440372215,0.7312176375958491,0.7291526592588801,0.010066435973864434,2
18,0.1489565372467041,0.001501088612457241,0.0478824774424235,0.0022966790182943233,balanced,0.006105402296585327,"{'clf__class_weight': 'balanced', 'clf__tol': 0.006105402296585327}",0.7403185961435695,0.7159217440372215,0.7312176375958491,0.7291526592588801,0.010066435973864434,2
17,0.15883262952168783,0.003914642292229243,0.04914697011311849,0.004742221080230978,balanced,0.0007196856730011522,"{'clf__class_weight': 'balanced', 'clf__tol': 0.0007196856730011522}",0.7403185961435695,0.7159217440372215,0.7312176375958491,0.7291526592588801,0.010066435973864434,2
16,0.1810438632965088,0.004512002569415377,0.04593801498413086,0.0006638608535234174,balanced,8.483428982440725e-05,"{'clf__class_weight': 'balanced', 'clf__tol': 8.483428982440725e-05}",0.7403185961435695,0.7159217440372215,0.7312176375958491,0.7291526592588801,0.010066435973864434,2
15,0.1875432332356771,0.005537779667470608,0.046346584955851235,0.002039684356859882,balanced,1e-05,"{'clf__class_weight': 'balanced', 'clf__tol': 1e-05}",0.7403185961435695,0.7159217440372215,0.7312176375958491,0.7291526592588801,0.010066435973864434,2
2,0.15666842460632324,0.0030310206440854384,0.04575077692667643,0.0008077092796454329,,0.0007196856730011522,"{'clf__class_weight': None, 'clf__tol': 0.0007196856730011522}",0.7403185961435695,0.7159217440372215,0.7312176375958491,0.7291526592588801,0.010066435973864434,2
3,0.14956585566202799,0.007810533323859638,0.04586529731750488,0.0009699913899655776,,0.006105402296585327,"{'clf__class_weight': None, 'clf__tol': 0.006105402296585327}",0.7403185961435695,0.7159217440372215,0.7311656440808699,0.7291353280872204,0.010062909965157737,9
19,0.1933116912841797,0.04118566841931412,0.08325362205505371,0.001645646035249306,balanced,0.05179474679231213,"{'clf__class_weight': 'balanced', 'clf__tol': 0.05179474679231213}",0.7403185961435695,0.7152848210433493,0.731205240108224,0.7289362190983809,0.010345170087193122,10
4,0.13219634691874185,0.0011598519366601084,0.047919670740763344,0.0016682991621626115,,0.05179474679231213,"{'clf__class_weight': None, 'clf__tol': 0.05179474679231213}",0.7403185961435695,0.7158415049988882,0.730584264408611,0.7289147885170228,0.01006221844461431,11
20,0.19896403948465982,0.003293155587936016,0.08182048797607422,0.002312206268000591,balanced,0.4393970560760795,"{'clf__class_weight': 'balanced', 'clf__tol': 0.4393970560760795}",0.7398761685909349,0.7159168998124866,0.7280404655525518,0.7279445113186577,0.009781565842976698,12
