,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6,0.07421342531840007,0.006474796992773841,0.02739715576171875,0.008205212822255675,0.25555555555555554,False,True,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7166205259028318,0.6982320116438863,0.695178324033391,0.7033436205267031,0.009470600624410639,1
7,0.07619349161783855,0.0021614547149971675,0.03291964530944824,0.001786425097299875,0.25555555555555554,False,False,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7166205259028318,0.6982320116438863,0.695178324033391,0.7033436205267031,0.009470600624410639,1
4,0.06371227900187175,0.0027050996523889565,0.03231358528137207,0.0022664650074875545,0.25555555555555554,True,True,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7159776122104548,0.6981983832644172,0.695178324033391,0.7031181065027544,0.009176250313518115,3
5,0.07218678792317708,0.008340667955867484,0.03140711784362793,0.0002316751498926427,0.25555555555555554,True,False,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7159776122104548,0.6981983832644172,0.695178324033391,0.7031181065027544,0.009176250313518115,3
10,0.0689679781595866,0.0031226363150796362,0.031024694442749023,0.004767919650119118,0.4111111111111111,False,True,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7132376671852819,0.6982067260894446,0.6973813676582851,0.7029419203110039,0.00728798586302034,5
11,0.06815878550211589,0.007330250052986269,0.026123762130737305,0.007248920779541205,0.4111111111111111,False,False,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7132376671852819,0.6982067260894446,0.6973813676582851,0.7029419203110039,0.00728798586302034,5
8,0.07344015439351399,0.004126588739032524,0.026491165161132812,0.004116214599382137,0.4111111111111111,True,True,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7141237332383895,0.6976547098397069,0.6957260532548138,0.7025014987776368,0.008255793095402548,7
9,0.0687408447265625,0.007154727259617972,0.030897140502929688,0.0008796172936268821,0.4111111111111111,True,False,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7141237332383895,0.6976547098397069,0.6957260532548138,0.7025014987776368,0.008255793095402548,7
15,0.06859827041625977,0.007189241593276315,0.03764637311299642,0.007159473819179627,0.5666666666666667,False,False,"{'clf__alpha': np.float64(0.5666666666666667), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7086150092884412,0.6963003078375573,0.6895949851526583,0.6981701007595523,0.007876650037073652,9
14,0.06836072603861491,0.004941240485632128,0.03131914138793945,0.00012871203150174832,0.5666666666666667,False,True,"{'clf__alpha': np.float64(0.5666666666666667), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7086150092884412,0.6963003078375573,0.6895949851526583,0.6981701007595523,0.007876650037073652,9
