,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,0.09448774655659993,0.002791974092577692,0.04177053769429525,0.0014946604333818012,0.4111111111111111,False,True,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7169294564029954,0.7030598131119904,0.7066377288909028,0.7088756661352962,0.005879230311716698,1
11,0.09739979108174641,0.006455011250546898,0.04117170969645182,0.0002301074312729558,0.4111111111111111,False,False,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7169294564029954,0.7030598131119904,0.7066377288909028,0.7088756661352962,0.005879230311716698,1
8,0.18133926391601562,0.00657071865046063,0.07339946428934734,0.001139255837292247,0.4111111111111111,True,True,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7169411103866397,0.7024371390636506,0.7066377288909028,0.7086719927803977,0.006093437355800611,3
9,0.13414374987284342,0.030255660093415924,0.05139692624409994,0.014553869972911327,0.4111111111111111,True,False,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7169411103866397,0.7024371390636506,0.7066377288909028,0.7086719927803977,0.006093437355800611,3
6,0.16814867655436197,0.010242536912243147,0.0701609452565511,0.001420436351953007,0.25555555555555554,False,True,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7154106146909291,0.7044583736369036,0.7003239994209144,0.706730995916249,0.006365275542336125,5
7,0.17219225565592447,0.005143029557033299,0.07134747505187988,0.0022245664485225354,0.25555555555555554,False,False,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7154106146909291,0.7044583736369036,0.7003239994209144,0.706730995916249,0.006365275542336125,5
4,0.09834472338358562,0.003011313842215275,0.041402180989583336,0.0018050234450265484,0.25555555555555554,True,True,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7154106146909291,0.7037501530245315,0.7003239994209144,0.7064949223787917,0.006457647104140695,7
5,0.14720861117045084,0.025464435894346025,0.07378387451171875,0.0025067138093655275,0.25555555555555554,True,False,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7154106146909291,0.7037501530245315,0.7003239994209144,0.7064949223787917,0.006457647104140695,7
12,0.09543808301289876,0.002032319893875658,0.04288562138875326,0.0029792864019151355,0.5666666666666667,True,True,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7110304739813854,0.6982207658195153,0.7089164535712772,0.706055897790726,0.00560709314638189,9
13,0.09967756271362305,0.0024231019716763266,0.044258435567220054,0.002925675178125431,0.5666666666666667,True,False,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7110304739813854,0.6982207658195153,0.7089164535712772,0.706055897790726,0.00560709314638189,9
