,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
94,0.7211966514587402,0.132692363618853,0.07836174964904785,0.01890332679723689,129154.96650148826,balanced,500,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7958565558095447,0.8167684032633509,0.8214241442966951,0.8113497011231968,0.011118967126037315,31
118,0.5454301834106445,0.07458565744337123,0.05397295951843262,0.0055582884949180265,100000000.0,balanced,500,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7954121538473757,0.815733513217046,0.8216534321984171,0.810933033087613,0.011237871372551526,34
116,0.5121417045593262,0.0036221079306068223,0.0532836119333903,0.005642985520263026,100000000.0,balanced,200,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7954121538473757,0.815733513217046,0.8216534321984171,0.810933033087613,0.011237871372551526,34
114,0.5149396260579427,0.013036361443228348,0.04883845647176107,0.0038507107963711433,100000000.0,balanced,100,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7954121538473757,0.815733513217046,0.8216534321984171,0.810933033087613,0.011237871372551526,34
104,0.5278249581654867,0.005479413162801034,0.052532037099202476,0.0017766020010045157,3593813.6638046256,balanced,200,liblinear,"{'clf__C': np.float64(3593813.6638046256), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7954121538473757,0.815733513217046,0.8216330787603718,0.8109262486082646,0.011231401532826825,37
106,0.526818593343099,0.03391936547518599,0.050060113271077476,0.002680595579076848,3593813.6638046256,balanced,500,liblinear,"{'clf__C': np.float64(3593813.6638046256), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7954121538473757,0.815733513217046,0.8216330787603718,0.8109262486082646,0.011231401532826825,37
102,0.5306030114491781,0.010244057089713139,0.05332756042480469,0.0025527576985688,3593813.6638046256,balanced,100,liblinear,"{'clf__C': np.float64(3593813.6638046256), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7954121538473757,0.815733513217046,0.8216330787603718,0.8109262486082646,0.011231401532826825,37
75,0.8806354204813639,0.0724818972600478,0.04210535685221354,0.004846394994457953,4641.588833612773,,200,lbfgs,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'lbfgs'}",0.796877572725155,0.8202495554262332,0.8142380411226195,0.8104550564246692,0.009909444106964132,40
77,0.8932007153828939,0.0929321605528812,0.0442961851755778,0.002261907609353267,4641.588833612773,,500,lbfgs,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.796877572725155,0.8202495554262332,0.8142380411226195,0.8104550564246692,0.009909444106964132,40
73,0.9057018756866455,0.1180029855673168,0.03960212071736654,0.008317191099925549,4641.588833612773,,100,lbfgs,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.796877572725155,0.8202495554262332,0.8142380411226195,0.8104550564246692,0.009909444106964132,40
