,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
54,0.3257741928100586,0.008744147538296616,0.07931272188822429,0.0019919690017099687,5.994842503189409,balanced,100,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7399892076587276,0.710104685308711,0.726133671657756,0.7254091882083982,0.012211055816307216,1
58,0.4656039873758952,0.2208896855977254,0.09554966290791829,0.020843246594950956,5.994842503189409,balanced,500,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7399892076587276,0.710104685308711,0.726133671657756,0.7254091882083982,0.012211055816307216,1
56,0.3262191613515218,0.010339593279277305,0.08188096682230632,0.00310261295344082,5.994842503189409,balanced,200,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7399892076587276,0.710104685308711,0.726133671657756,0.7254091882083982,0.012211055816307216,1
48,0.32161696751912433,0.008670258848962834,0.08364200592041016,0.008532712789332984,5.994842503189409,,100,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7399892076587276,0.709486107292164,0.726133671657756,0.7252029955362159,0.012470215222028482,4
50,0.566634734471639,0.18531246522873834,0.08076039950052898,0.001707144980229473,5.994842503189409,,200,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7399892076587276,0.709486107292164,0.726133671657756,0.7252029955362159,0.012470215222028482,4
52,0.32367491722106934,0.02434722134535456,0.07738463083902995,0.00023702854682377508,5.994842503189409,,500,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7399892076587276,0.709486107292164,0.726133671657756,0.7252029955362159,0.012470215222028482,4
64,0.40763243039449054,0.01499042517722573,0.07981300354003906,0.002170801158355484,166.81005372000593,,500,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7394599139838968,0.7114884872281362,0.7231773476591498,0.7247085829570609,0.011470503907599891,7
60,0.39895327885945636,0.021497385272685087,0.08181595802307129,0.0038292438544555367,166.81005372000593,,100,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7394599139838968,0.7114884872281362,0.7231773476591498,0.7247085829570609,0.011470503907599891,7
62,0.3886259396870931,0.012401117338544595,0.08465385437011719,0.009107940335873078,166.81005372000593,,200,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7394599139838968,0.7114884872281362,0.7231773476591498,0.7247085829570609,0.011470503907599891,7
66,0.3956778049468994,0.02118383518762596,0.07754095395406087,0.000997913171030488,166.81005372000593,balanced,100,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7387513293375441,0.7114884872281362,0.7231773476591498,0.7244723880749433,0.011167616493819081,10
70,1.0754767258961995,0.6130092439312143,0.12136578559875488,0.030996856436207493,166.81005372000593,balanced,500,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7387513293375441,0.7114884872281362,0.7231773476591498,0.7244723880749433,0.011167616493819081,10
68,1.1704638004302979,0.5833639593452943,0.09662151336669922,0.02491454954164639,166.81005372000593,balanced,200,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7387513293375441,0.7114884872281362,0.7231773476591498,0.7244723880749433,0.011167616493819081,10
57,2.792073885599772,0.7168147804815995,0.12954401969909668,0.00282687290721142,5.994842503189409,balanced,200,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'lbfgs'}",0.7388230035847302,0.711153292827657,0.7208077560388318,0.7235946841504064,0.011466718495115491,13
55,3.2182912826538086,0.9815979745618488,0.10923989613850911,0.021810541245676104,5.994842503189409,balanced,100,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.7388230035847302,0.711153292827657,0.7208077560388318,0.7235946841504064,0.011466718495115491,13
59,2.4588065147399902,0.11314188722551423,0.1240072250366211,0.0047424305812104935,5.994842503189409,balanced,500,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.7388230035847302,0.711153292827657,0.7208077560388318,0.7235946841504064,0.011466718495115491,13
53,3.1526902516682944,0.9314539791689816,0.11205712954203288,0.009032747248576202,5.994842503189409,,500,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.7361991115542329,0.7121965868007843,0.7220878531973463,0.7234945171841213,0.009849342662118616,16
